Job Title,Job Family (Category),Union
System Service Worker,"Maintenance, Vehicle & Facilities",SEIU
Systems Programmer,Information Systems,AFSCME
Technical Administrator,Technical Support,SEIU
Technical Documentation Administrator,Technical Support,AFSCME
Technical Editor,Technical Support,SEIU
Technical Maintenance Support Coordinator,"Maintenance, Vehicle & Facilities",AFSCME
Technical Programmer Analyst,Information Systems,SEIU
Technical Publications Administrator,Technical Support,SEIU
Technical Recruiter,Human Resources & Labor Relations,Non-Represented
Technical Resources Administrator,Technical Support,SEIU
Technology Advances Administrator,Administrative & Management,Non-Represented
Telecommunications Specialist,Technical Support,SEIU
Telecommunications Technician,Technical Support,SEIU
Test Track Manager,"Maintenance, Vehicle & Facilities",Non-Represented
Time & Labor Administrative Analyst,Finance & Accounting,SEIU
Tool Room Attendant,Procurement,SEIU
Track Equipment Operator,"Maintenance, Vehicle & Facilities",SEIU
Track Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Track Welder,"Maintenance, Vehicle & Facilities",SEIU
Track Worker,"Maintenance, Vehicle & Facilities",SEIU
Track Worker (PT),"Maintenance, Vehicle & Facilities",SEIU
Train Control Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Train Control Engineer,Engineering & Systems Engineering,Non-Represented
Train Control Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Train Controller,Transportation Operations,AFSCME
Train Operator,Transportation Operations,ATU
Transit Information Clerk,Clerical,SEIU
Transit Information Supervisor,Administrative & Management,SEIU
Transit Information Technician,Clerical,SEIU
Transit Vehicle Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Transit Vehicle Mechanic,"Maintenance, Vehicle & Facilities",SEIU
Transportation Administration Specialist,Clerical,ATU
"Transportation Officer, Capital Corridor",Administrative & Management,Non-Represented
Transportation Operations Manager,Transportation Operations,Non-Represented
Treasury Analyst,Finance & Accounting,AFSCME
Trouble Desk Data Specialist,Clerical,SEIU
Utility Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Utility Worker,"Maintenance, Vehicle & Facilities",SEIU
Vehicle Inspector,"Maintenance, Vehicle & Facilities",SEIU
Vehicle Performance Analyst,"Maintenance, Vehicle & Facilities",AFSCME
Vehicle Systems Engineer,Engineering & Systems Engineering,Non-Represented
Warranty Administrator,"Maintenance, Vehicle & Facilities",SEIU
Wayside Inspector,"Maintenance, Vehicle & Facilities",SEIU
Web Page Specialist,Technical Support,SEIU
