Title,Job Family,Union
Reprographics Equipment Operator,Clerical,SEIU
Research & Development Specialist,Engineering & Systems Engineering,Non-Represented
Research Projects Analyst,Administrative & Management,Non-Represented
Research Projects Supervisor,Administrative & Management,Non-Represented
Revenue Protection Guard,Police,BPOA
Rolling Stock & Shops Project Manager,"Maintenance, Vehicle & Facilities",Non-Represented
Rolling Stock Comp Maintenance Supt,"Maintenance, Vehicle & Facilities",Non-Represented
Rolling Stock Component Maintenance Superintendent,"Maintenance, Vehicle & Facilities",Non-Represented
Rolling Stock Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Rolling Stock Maintenance Superintendent,"Maintenance, Vehicle & Facilities",Non-Represented
Rolling Stock Maintenance Supervisor,"Maintenance, Vehicle & Facilities",Non-Represented
Safety Specialist,Safety,Non-Represented
Scheduling Analyst,Transportation Operations,ATU
Scheduling Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
Secondary Repair Superintendent,"Maintenance, Vehicle & Facilities",Non-Represented
Section Manager Elev/Escalator Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Section Manager Power & Mechanical Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Section Manager Struct Insp & Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Section Manager Structures Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Section Manager Systems Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Section Manager Track Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Automatic Fare Collection Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Elevator/Escalator Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Power & Mechanical Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Structures Inspection & Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Structures Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Systems Maintenance","Maintenance, Vehicle & Facilities",AFSCME
"Section Manager, Track Maintenance","Maintenance, Vehicle & Facilities",AFSCME
Seismic Engineering Manager,Engineering & Systems Engineering,Non-Represented
Senior Account Clerk,Finance & Accounting,SEIU
Senior Admin Analyst - AFSCME,Administrative & Management,AFSCME
Senior Admin Analyst - NR,Administrative & Management,Non-Represented
Senior Administrative Analyst,Administrative & Management,AFSCME
Senior Appl Programmer Analyst,Information Systems,SEIU
Senior Applications Analyst,Information Systems,AFSCME
Senior Applications Programmer Analyst,Information Systems,SEIU
Senior Attorney,Legal & Paralegal,Non-Represented
Senior Budget Analyst,Finance & Accounting,AFSCME
Senior Budget Clerk,Finance & Accounting,SEIU
Senior Cash Handler,Finance & Accounting,SEIU
Senior Central Maintenance Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
Senior Civil Engineer,Engineering & Systems Engineering,Non-Represented
Senior Civil Engineering,Engineering & Systems Engineering,Non-Represented
Senior Civil Rights Officer,Human Resources & Labor Relations,Non-Represented
Senior Clerk,Clerical,ATU
Senior Clerk - NR,Clerical,Non-Represented
Senior Clerk - SEIU,Clerical,SEIU
Senior Computer Systems Engineer,Engineering & Systems Engineering,Non-Represented
Senior Computer Systems Engineering,Engineering & Systems Engineering,Non-Represented
Senior Construction Engineer,Engineering & Systems Engineering,Non-Represented
Senior Construction Engineering,Engineering & Systems Engineering,Non-Represented
Senior Drafter,Engineering & Systems Engineering,SEIU
Senior Electrical Engineer,Engineering & Systems Engineering,Non-Represented
Senior Electrical Engineering,Engineering & Systems Engineering,Non-Represented
Senior Electronics & Comm Engineering,Engineering & Systems Engineering,Non-Represented
Senior Electronics & Communications Engineer,Engineering & Systems Engineering,Non-Represented
Senior Employee Development Specialist,Training: Technical & Management,Non-Represented
Senior Employee Services Representative,Human Resources & Labor Relations,Non-Represented
Senior Energy Analyst,Finance & Accounting,AFSCME
Senior Engineer,Engineering & Systems Engineering,Non-Represented
Senior Engineering,Engineering & Systems Engineering,Non-Represented
Senior Environmental Compliance Specialist,Safety,AFSCME
Senior Executive Staff Assistant,Administrative & Management,Non-Represented
Senior Financial Analyst,Finance & Accounting,AFSCME
Senior Financial Analyst - AFSCME,Finance & Accounting,AFSCME
Senior Financial Analyst - NR,Finance & Accounting,Non-Represented
Senior Government & Community Relations Representative,Public Affairs & Marketing,AFSCME
Senior Graphic Artist,Technical Support,SEIU
Senior Internal Auditor,Audit,Non-Represented
Senior Inventory Control Analyst,Procurement,AFSCME
Senior Labor Relations Representative,Human Resources & Labor Relations,Non-Represented
Senior Legal Secretary,Legal & Paralegal,SEIU
Senior Logistics Supervisor,Procurement,AFSCME
Senior Maintenance Planner,"Maintenance, Vehicle & Facilities",SEIU
Senior Marketing Representative,Public Affairs & Marketing,AFSCME
Senior Mechanical Engineer,Engineering & Systems Engineering,Non-Represented
Senior Mechanical Engineering,Engineering & Systems Engineering,Non-Represented
Senior Office Services Supervisor,Administrative & Management,SEIU
Senior Office Services Support Clerk,Clerical,SEIU
Senior Office Services Support Clk,Clerical,SEIU
Senior Operations Foreworker,Transportation Operations,ATU
Senior Operations Safety Spec,Safety,AFSCME
Senior Operations Safety Specialist,Safety,AFSCME
Senior Operations Supervisor,Transportation Operations,AFSCME
Senior Operations Supervisor - Operations Liaisons,Transportation Operations,AFSCME
Senior Operations Supervisor-Ops Liaison,Transportation Operations,AFSCME
Senior Operations Support Systems Analyst,Information Systems,ATU
Senior Personnel Analyst,Human Resources & Labor Relations,Non-Represented
Senior Planner,Planning,AFSCME
Senior Police Clerk,Police,BPOA
Senior Quality Engineer,Engineering & Systems Engineering,Non-Represented
Senior Quality Engineering,Engineering & Systems Engineering,Non-Represented
Senior Rail Vehicle Engineer,Engineering & Systems Engineering,Non-Represented
Senior Real Estate Officer,Real Estate,AFSCME
Senior Reliability Engineer,Engineering & Systems Engineering,Non-Represented
Senior Reliability Engineering,Engineering & Systems Engineering,Non-Represented
Senior Research Projects Analyst,Administrative & Management,Non-Represented
Senior Right of Way Officer,Real Estate,AFSCME
Senior Safety Specialist,Safety,AFSCME
Senior Scheduling Analyst,Transportation Operations,ATU
Senior Secretary,Clerical,ATU
Senior Secretary - ATU,Clerical,ATU
Senior Secretary - SEIU,Clerical,SEIU
Senior Staff Assistant,Administrative & Management,Non-Represented
Senior Storekeeper,Procurement,SEIU
Senior Structural Engineer,Engineering & Systems Engineering,Non-Represented
Senior Structural Engineering,Engineering & Systems Engineering,Non-Represented
Senior Systems Programmer,Information Systems,AFSCME
Senior Telecommunications Technician,Technical Support,SEIU
Senior Time & Labor Admin Analyst,Finance & Accounting,AFSCME
Senior Time & Labor Administrative Analyst,Finance & Accounting,AFSCME
Senior Train Control Engineer,Engineering & Systems Engineering,Non-Represented
Senior Train Control Engineering,Engineering & Systems Engineering,Non-Represented
Senior Transportation Engineer,Planning,Non-Represented
Senior Transportation Engineering,Engineering & Systems Engineering,Non-Represented
Senior Transportation Training Clerk,Clerical,ATU
Senior Vehicle Systems Engineer,Engineering & Systems Engineering,Non-Represented
Senior Vehicle Systems Engineering,Engineering & Systems Engineering,Non-Represented
Senior. Production Engineering,Engineering & Systems Engineering,Non-Represented
Senior. Scheduling Analyst - ATU,Transportation Operations,ATU
Shop Machinist,"Maintenance, Vehicle & Facilities",SEIU
Shop Scheduler,"Maintenance, Vehicle & Facilities",SEIU
Shop Welder,"Maintenance, Vehicle & Facilities",SEIU
Spec Proj Manager Tracks & Struct,"Maintenance, Vehicle & Facilities",AFSCME
Special Project Manager Systems Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Special Project Manager Tracks & Structures,"Maintenance, Vehicle & Facilities",AFSCME
Special Projects Coordinator,"Maintenance, Vehicle & Facilities",AFSCME
Staff Assistant,Administrative & Management,Non-Represented
Station Agent,Transportation Operations,ATU
Storekeeper,Procurement,SEIU
"Strategic Prg Manager, Ext Affairs",Public Affairs & Marketing,Non-Represented
"Strategic Program Manager, External Affairs",Public Affairs & Marketing,Non-Represented
Structural Engineer,Engineering & Systems Engineering,Non-Represented
Structures Equipment Operator,"Maintenance, Vehicle & Facilities",SEIU
Structures Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Structures Inspector,"Maintenance, Vehicle & Facilities",SEIU
Structures Inspector Assistant,"Maintenance, Vehicle & Facilities",SEIU
Structures Inspector Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Structures Inspector Forewrk,"Maintenance, Vehicle & Facilities",SEIU
Structures Welder,"Maintenance, Vehicle & Facilities",SEIU
Structures Worker,"Maintenance, Vehicle & Facilities",SEIU
Superintendent of Power & Mechanical Maintenance,"Maintenance, Vehicle & Facilities",Non-Represented
Superintendent of Systems Maintenance,"Maintenance, Vehicle & Facilities",Non-Represented
Superintendent of Way & Facilities,"Maintenance, Vehicle & Facilities",Non-Represented
Supervising Power & Way Controller,"Maintenance, Vehicle & Facilities",AFSCME
Supervisor Business Systems Oper,Information Systems,AFSCME
Supervisor Human Resources Programs,Human Resources & Labor Relations,Non-Represented
Supervisor of Power & Mechanical Maintenance,"Maintenance, Vehicle & Facilities",Non-Represented
Supervisor of Systems Maintenance,"Maintenance, Vehicle & Facilities",Non-Represented
Supervisor of Way & Facilities,"Maintenance, Vehicle & Facilities",Non-Represented
"Supervisor, Business Systems Operations",Information Systems,AFSCME
"Supervisor, Human Resources Programs",Human Resources & Labor Relations,Non-Represented
"Supervisor, LAN Administration",Information Systems,AFSCME
"Supervisor, Technical Support & Graphics",Technical Support,AFSCME
Survey Aide,Public Affairs & Marketing,Non-Represented
Survey Party Chief,Engineering & Systems Engineering,Non-Represented
Survey Taker (PT),Public Affairs & Marketing,Non-Represented
Survey Technician,Engineering & Systems Engineering,SEIU
Survivor Benefits Enrollee,Human Resources & Labor Relations,Non-Represented
System Architect - Assistant Group Manager,Engineering & Systems Engineering,Non-Represented
System Performance Analyst,"Maintenance, Vehicle & Facilities",SEIU
System Service Crewleader,"Maintenance, Vehicle & Facilities",SEIU
System Service Foreworker,"Maintenance, Vehicle & Facilities",SEIU
System Service Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
System Service Worker,"Maintenance, Vehicle & Facilities",SEIU
System Service Worker - 141,"Maintenance, Vehicle & Facilities",SEIU
System Service Worker - PT,"Maintenance, Vehicle & Facilities",SEIU
Systems Programmer,Information Systems,AFSCME
Technical Administrator,Technical Support,SEIU
Technical Documentation Administrator,Technical Support,AFSCME
Technical Editor,Technical Support,SEIU
Technical Maintenance Support Coordinator,"Maintenance, Vehicle & Facilities",AFSCME
Technical Programmer Analyst,Information Systems,SEIU
Technical Publications Administrator,Technical Support,SEIU
Technical Recruiter,Human Resources & Labor Relations,Non-Represented
Technical Resources Administrator,Technical Support,SEIU
Technician Maintenance Support Coord,"Maintenance, Vehicle & Facilities",AFSCME
Technician Publications Admin,Technical Support,SEIU
Technology Advances Administrator,Administrative & Management,Non-Represented
Telecommunications Specialist,Technical Support,SEIU
Telecommunications Technician,Technical Support,SEIU
Test Track Manager,"Maintenance, Vehicle & Facilities",Non-Represented
Time & Labor Administrative Analyst,Finance & Accounting,SEIU
Time and Labor Admin Analyst,Finance & Accounting,SEIU
Tool Room Attendant,Procurement,SEIU
Track Equipment Operator,"Maintenance, Vehicle & Facilities",SEIU
Track Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Track Welder,"Maintenance, Vehicle & Facilities",SEIU
Track Worker,"Maintenance, Vehicle & Facilities",SEIU
Track Worker (PT),"Maintenance, Vehicle & Facilities",SEIU
Train Control Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Train Control Engineer,Engineering & Systems Engineering,Non-Represented
Train Control Engineering,Engineering & Systems Engineering,Non-Represented
Train Control Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Train Controller,Transportation Operations,AFSCME
Train Operator,Transportation Operations,ATU
Trans OfficerCapitol Corridor,Administrative & Management,Non-Represented
Transit Information Clerk,Clerical,SEIU
Transit Information Supervisor,Administrative & Management,SEIU
Transit Information Technician,Clerical,SEIU
Transit Vehicle Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Transit Vehicle Mechanic,"Maintenance, Vehicle & Facilities",SEIU
Transportation Adm Specialist,Clerical,ATU
Transportation Administration Specialist,Clerical,ATU
"Transportation Officer, Capital Corridor",Administrative & Management,Non-Represented
Transportation Operations Manager,Transportation Operations,Non-Represented
Treasury Analyst,Finance & Accounting,AFSCME
Trouble Desk Data Specialist,Clerical,SEIU
Utility Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Utility Worker,"Maintenance, Vehicle & Facilities",SEIU
Vehicle Inspector,"Maintenance, Vehicle & Facilities",SEIU
Vehicle Performance Analyst,"Maintenance, Vehicle & Facilities",AFSCME
Vehicle Systems Engineer,Engineering & Systems Engineering,Non-Represented
Vehicle Systems Engineering,Engineering & Systems Engineering,Non-Represented
Warranty Administrator,"Maintenance, Vehicle & Facilities",SEIU
Wayside Inspector,"Maintenance, Vehicle & Facilities",SEIU
Web Page Specialist,Technical Support,SEIU
